source,taxon_code,scientific_name,common_name,rank,species_code,species_scientific_name,species_common_name,genus_code,genus_scientific_name,genus_common_name,family_code,family_scientific_name,family_common_name,order_code,order_scientific_name,order_common_name,class_code,class_scientific_name,class_common_name,loaded_timestamp
2,486780,neoascia,fen flies,genus,,,,486780,neoascia,fen flies,,syrphidae,hover flies,,diptera,flies,,insecta,insects,2025-12-13 12:29:31
2,122455,plusiinae,plusiine looper moths,subfamily,,,,,,,,noctuidae,cutworm moths and allies,,lepidoptera,butterflies and moths,,insecta,insects,2025-12-13 12:29:31
2,48702,boletaceae,boletes,family,,,,,,,48702,boletaceae,boletes,,boletales,boletes and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,51435,trillium undulatum,painted trillium,species,51435,trillium undulatum,painted trillium,,trillium,trilliums,,melanthiaceae,"herb-paris, false hellebores, trilliums and allies",,liliales,"lilies, supplejacks, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,123049,panax trifolius,dwarf ginseng,species,123049,panax trifolius,dwarf ginseng,,panax,ginsengs,,araliaceae,ivy family,,apiales,"carrots, ivies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,84330,caulophyllum thalictroides,blue cohosh,species,84330,caulophyllum thalictroides,blue cohosh,,caulophyllum,blue cohoshes,,berberidaceae,barberry family,,ranunculales,"buttercups, poppies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,118273,psathyrella piluliformis,common stump brittlestem,species,118273,psathyrella piluliformis,common stump brittlestem,,psathyrella,brittlestems,,psathyrellaceae,brittlestems and allies,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,48711,lobaria pulmonaria,tree lungwort,species,48711,lobaria pulmonaria,tree lungwort,,lobaria,lung lichens,,lobariaceae,,,peltigerales,,,lecanoromycetes,common lichens,2025-12-13 12:29:31
2,52764,prunella vulgaris,common selfheal,species,52764,prunella vulgaris,common selfheal,,prunella,selfheals,,lamiaceae,mint family,,lamiales,"mints, plantains, olives, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,204198,dendrolycopodium obscurum,flat-branched tree-clubmoss,species,204198,dendrolycopodium obscurum,flat-branched tree-clubmoss,,dendrolycopodium,tree-clubmosses,,lycopodiaceae,clubmosses and firmosses,,lycopodiales,clubmosses and firmosses,,lycopodiopsida,lycophytes,2025-12-13 12:29:31
